Copyright (C) 2025  Altera Corporation. All rights reserved.
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, the Altera Quartus Prime License Agreement,
the Altera IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Altera and sold by Altera or its authorized distributors.  Please
refer to the Altera Software License Subscription Agreements 
on the Quartus Prime software download page.

All Package Pins

Location,Pad Number,I/O Bank,Pin Name/Usage,Dir.,I/O Standard,Voltage,I/O Type,User Assignment,Bus Hold,Weak Pull Up
1,0,1,RESERVED_INPUT_WITH_WEAK_PULLUP,,,,Row I/O,,no,On
2,1,1,RESERVED_INPUT_WITH_WEAK_PULLUP,,,,Row I/O,,no,On
3,2,1,RESERVED_INPUT_WITH_WEAK_PULLUP,,,,Row I/O,,no,On
4,,,GND,gnd,,,--,,--,--
5,,,VCCINT,power,,1.2V,--,,--,--
6,5,1,~ALTERA_ASDO_DATA1~ / RESERVED_INPUT_WITH_WEAK_PULLUP,input,2.5 V,,Row I/O,N,no,On
7,6,1,RESERVED_INPUT_WITH_WEAK_PULLUP,,,,Row I/O,,--,--
8,7,1,~ALTERA_FLASH_nCE_nCSO~ / RESERVED_INPUT_WITH_WEAK_PULLUP,input,2.5 V,,Row I/O,N,no,On
9,9,1,^nSTATUS,,,,--,,--,--
10,13,1,RESERVED_INPUT_WITH_WEAK_PULLUP,,,,Row I/O,,no,On
11,14,1,RESERVED_INPUT_WITH_WEAK_PULLUP,,,,Row I/O,,no,On
12,15,1,~ALTERA_DCLK~,output,2.5 V,,Row I/O,N,no,On
13,16,1,~ALTERA_DATA0~ / RESERVED_INPUT_WITH_WEAK_PULLUP,input,2.5 V,,Row I/O,N,no,On
14,17,1,^nCONFIG,,,,--,,--,--
15,18,1,altera_reserved_tdi,input,2.5 V,,--,N,no,Off
16,19,1,altera_reserved_tck,input,2.5 V,,--,N,no,Off
17,,1,VCCIO1,power,,2.5V,--,,--,--
18,20,1,altera_reserved_tms,input,2.5 V,,--,N,no,Off
19,,,GND,gnd,,,--,,--,--
20,21,1,altera_reserved_tdo,output,2.5 V,,--,N,no,Off
21,22,1,^nCE,,,,--,,--,--
22,,,GND,gnd,,,--,,--,--
23,24,1,clk_50M,input,2.5 V,,Row I/O,N,no,Off
24,25,2,rst_n,input,2.5 V,,Row I/O,N,no,Off
25,26,2,GND+,,,,Row I/O,,--,--
26,,2,VCCIO2,power,,2.5V,--,,--,--
27,,,GND,gnd,,,--,,--,--
