Copyright (C) 2025  Altera Corporation. All rights reserved.
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, the Altera Quartus Prime License Agreement,
the Altera IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Altera and sold by Altera or its authorized distributors.  Please
refer to the Altera Software License Subscription Agreements 
on the Quartus Prime software download page.

Control Signals

Name,Location,Fan-Out,Usage,Global,Global Resource Used,Global Line Name,Enable Signal Source Name
altera_internal_jtag~TCKUTAP,JTAG_X1_Y12_N0,276,Clock,yes,Global Clock,GCLK4,--
altera_internal_jtag~TMSUTAP,JTAG_X1_Y12_N0,23,Sync. clear,no,--,--,--
clk_50M,PIN_23,207,Clock,yes,Global Clock,GCLK2,--
clock_divider:clk_div_inst|clk_100k,FF_X33_Y10_N17,57,Clock,yes,Global Clock,GCLK5,--
clock_divider:clk_div_inst|clk_uart,FF_X4_Y7_N17,15,Clock,yes,Global Clock,GCLK0,--
framer_fsm_tmr:fsm_tmr_inst|Decoder0~1,LCCOMB_X24_Y20_N6,24,Clock enable,no,--,--,--
i2c_master_sensor:i2c_master_inst|sda_en,FF_X29_Y19_N31,2,Output enable,no,--,--,--
i2c_master_sensor:i2c_master_inst|tx_data[1]~0,LCCOMB_X28_Y19_N28,2,Clock enable,no,--,--,--
memory_and_framer:mem_framer_inst|checksum[4]~10,LCCOMB_X23_Y20_N4,8,Clock enable,no,--,--,--
rst_n,PIN_24,146,Async. clear,yes,Global Clock,GCLK1,--
sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|clr_reg,FF_X16_Y14_N23,26,Async. clear,no,--,--,--
sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|design_hash_proc~0,LCCOMB_X14_Y15_N28,4,Sync. load,no,--,--,--
sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|hub_info_reg_ena,LCCOMB_X14_Y15_N8,4,Clock enable,no,--,--,--
sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|hub_info_reg_ena~0,LCCOMB_X12_Y13_N2,5,Clock enable,no,--,--,--
sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|identity_contrib_shift_reg[0]~1,LCCOMB_X14_Y14_N28,4,Clock enable,no,--,--,--
sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|irf_reg[1][0]~0,LCCOMB_X18_Y15_N20,10,Clock enable,no,--,--,--
sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|irf_reg[1][4],FF_X17_Y15_N31,8,Clock enable,no,--,--,--
sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|irf_reg[1][7],FF_X17_Y15_N27,23,Clock enable,no,--,--,--
