Copyright (C) 2025  Altera Corporation. All rights reserved.
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, the Altera Quartus Prime License Agreement,
the Altera IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Altera and sold by Altera or its authorized distributors.  Please
refer to the Altera Software License Subscription Agreements 
on the Quartus Prime software download page.

Analysis & Synthesis Resource Usage Summary

Resource,Usage
Estimated Total logic elements,846
,
Total combinational functions,646
Logic element usage by number of LUT inputs,
    -- 4 input functions,332
    -- 3 input functions,152
    -- <=2 input functions,162
,
Logic elements by mode,
    -- normal mode,560
    -- arithmetic mode,86
,
Total registers,553
    -- Dedicated logic registers,553
    -- I/O registers,0
,
I/O pins,5
Total memory bits,512
,
Embedded Multiplier 9-bit elements,0
,
Maximum fan-out node,altera_internal_jtag~TDO
Maximum fan-out,303
Total fan-out,4024
Average fan-out,3.29
